pressure_bin,temp_adjusted,psal_adjusted,juld,year,month,day,time,latitude,longitude,source_file
"(0, 50]",13.8,35.300198,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(50, 100]",13.809799,35.300297,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(100, 150]",13.6912,35.274,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(150, 200]",12.806399,35.1076,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(200, 250]",12.141601,35.032402,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(250, 300]",11.1421995,34.8992,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(300, 350]",10.4434,34.791,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(350, 400]",10.106999,34.745335,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(400, 450]",10.009999,34.75033,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(450, 500]",9.8220005,34.7325,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(500, 550]",9.729,34.722,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(550, 600]",9.564,34.705,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(600, 650]",9.325,34.675,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(650, 700]",9.139,34.652,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(700, 750]",8.843,34.613,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(800, 850]",8.124,34.532,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(900, 950]",6.699,34.437,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1000, 1050]",5.622,34.377,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1100, 1150]",4.687,34.354,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1200, 1250]",4.024,34.377,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1300, 1350]",3.645,34.424,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1400, 1450]",3.315,34.463,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1500, 1550]",3.117,34.511,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1600, 1650]",2.974,34.551,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1700, 1750]",2.836,34.588,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1800, 1850]",2.753,34.624,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(1900, 1950]",2.659,34.658,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc
"(0, 50]",13.6282,35.264297,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(50, 100]",13.3339,35.2095,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(100, 150]",12.5838,35.0614,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(150, 200]",11.403199,34.815998,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(200, 250]",11.216,34.8772,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(250, 300]",10.253799,34.7634,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(300, 350]",9.9376,34.7228,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(350, 400]",9.874,34.7305,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(400, 450]",9.669001,34.709,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(450, 500]",9.5265,34.6945,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(500, 550]",9.435,34.688,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(550, 600]",9.227,34.657,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(600, 650]",9.141,34.647,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(650, 700]",9.063,34.639,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(700, 750]",8.806,34.61,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(800, 850]",7.8280005,34.512,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(900, 950]",6.537,34.426,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1000, 1050]",5.363,34.369,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1100, 1150]",4.47,34.369,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1150, 1200]",3.9550002,34.4,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1300, 1350]",3.508,34.445,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1400, 1450]",3.192,34.491,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1500, 1550]",3.011,34.525,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1600, 1650]",2.867,34.567,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
"(1700, 1750]",2.788,34.607,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc
