floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
1901510,AO,data/indian/2020/09/nodc_R1901510_336.nc,2020-09-01T18:06:49Z,2020-09-01T18:06:49Z,-32.7640,-32.7640,28.8330,28.8330,4.40,1533.00
1901517,AO,data/indian/2020/09/nodc_R1901517_336.nc,2020-09-02T02:16:53Z,2020-09-02T02:16:53Z,9.7890,9.7890,52.6250,52.6250,4.50,1937.40
1901811,AO,data/indian/2020/09/nodc_R1901811_169.nc,2020-09-01T12:52:42Z,2020-09-01T12:52:42Z,-57.1220,-57.1220,100.1837,100.1837,0.72,1001.72
1901841,AO,data/indian/2020/09/nodc_R1901841_142.nc,2020-09-01T06:40:00Z,2020-09-01T06:40:00Z,-11.3646,-11.3646,66.0224,66.0224,0.76,2007.84
1901842,AO,data/indian/2020/09/nodc_R1901842_142.nc,2020-09-01T08:07:30Z,2020-09-01T08:07:30Z,-5.9305,-5.9305,63.4675,63.4675,0.76,1995.68
1902026,AO,data/indian/2020/09/nodc_R1902026_141.nc,2020-09-01T21:18:45Z,2020-09-01T21:18:45Z,-16.2985,-16.2985,56.0750,56.0750,0.60,1993.16
1902029,AO,data/indian/2020/09/nodc_R1902029_141.nc,2020-09-01T10:21:38Z,2020-09-01T10:21:38Z,-28.1407,-28.1407,39.7511,39.7511,0.84,2005.56
1902040,AO,data/indian/2020/09/nodc_R1902040_070.nc,2020-09-01T16:46:40Z,2020-09-01T16:46:40Z,-34.5029,-34.5029,68.0849,68.0849,0.36,2003.64
1902041,AO,data/indian/2020/09/nodc_R1902041_061.nc,2020-09-01T17:07:28Z,2020-09-01T17:07:28Z,-32.3626,-32.3626,64.7345,64.7345,0.48,2001.96
1902043,AO,data/indian/2020/09/nodc_R1902043_061.nc,2020-09-02T03:32:14Z,2020-09-02T03:32:14Z,-33.1670,-33.1670,61.0109,61.0109,0.40,2003.40
1902045,AO,data/indian/2020/09/nodc_R1902045_061.nc,2020-09-01T20:55:48Z,2020-09-01T20:55:48Z,-46.4788,-46.4788,90.7169,90.7169,0.48,2008.48
1902046,AO,data/indian/2020/09/nodc_R1902046_061.nc,2020-09-02T06:01:35Z,2020-09-02T06:01:35Z,-29.3072,-29.3072,52.9464,52.9464,0.64,2007.96
1902051,AO,data/indian/2020/09/nodc_R1902051_005.nc,2020-09-01T01:14:08Z,2020-09-01T01:14:08Z,-16.2200,-16.2200,96.6921,96.6921,0.72,2005.24
1902052,AO,data/indian/2020/09/nodc_R1902052_005.nc,2020-09-01T23:18:53Z,2020-09-01T23:18:53Z,-13.9127,-13.9127,93.2545,93.2545,0.52,2009.44
1902192,AO,data/indian/2020/09/nodc_R1902192_087.nc,2020-09-01T20:07:17Z,2020-09-01T20:07:17Z,-22.5080,-22.5080,41.1750,41.1750,4.00,1975.60
1902201,AO,data/indian/2020/09/nodc_R1902201_080.nc,2020-09-01T17:08:47Z,2020-09-01T17:08:47Z,-14.2050,-14.2050,67.5100,67.5100,4.30,2004.40
1902202,AO,data/indian/2020/09/nodc_R1902202_067.nc,2020-09-01T19:18:48Z,2020-09-01T19:18:48Z,-6.7940,-6.7940,48.5550,48.5550,4.20,2003.10
1902213,AO,data/indian/2020/09/nodc_R1902213_170.nc,2020-09-01T03:11:29Z,2020-09-01T03:11:29Z,-46.6314,-46.6314,49.1717,49.1717,0.76,1787.64
1902226,AO,data/indian/2020/09/nodc_R1902226_053.nc,2020-09-01T04:28:06Z,2020-09-01T04:28:06Z,-45.8623,-45.8623,34.3471,34.3471,0.64,1792.28
1902259,AO,data/indian/2020/09/nodc_R1902259_002.nc,2020-09-01T11:28:59Z,2020-09-01T11:28:59Z,-41.4316,-41.4316,82.4254,82.4254,0.44,1449.64
2902398,AO,data/indian/2020/09/nodc_R2902398_178.nc,2020-09-02T04:56:14Z,2020-09-02T04:56:14Z,2.9623,2.9623,84.9383,84.9383,0.92,2036.00
2903130,AO,data/indian/2020/09/nodc_R2903130_087.nc,2020-09-01T22:51:22Z,2020-09-01T22:51:22Z,2.1439,2.1439,90.7114,90.7114,1.08,2004.00
3901831,AO,data/indian/2020/09/nodc_R3901831_101.nc,2020-09-01T01:03:16Z,2020-09-01T01:03:16Z,-46.5887,-46.5887,25.5325,25.5325,0.48,2009.16
4903028,AO,data/indian/2020/09/nodc_R4903028_067.nc,2020-09-01T19:18:04Z,2020-09-01T19:18:04Z,-10.1440,-10.1440,45.1760,45.1760,4.30,2004.30
5902343,AO,data/indian/2020/09/nodc_R5902343_227.nc,2020-09-01T04:42:22Z,2020-09-01T04:42:22Z,-39.8028,-39.8028,119.4333,119.4333,0.72,1226.08
5902343,AO,data/indian/2020/09/nodc_R5902343_228.nc,2020-09-02T08:22:46Z,2020-09-02T08:22:46Z,-39.7587,-39.7587,119.4909,119.4909,0.88,1983.36
5902367,AO,data/indian/2020/09/nodc_R5902367_223.nc,2020-09-02T06:03:54Z,2020-09-02T06:03:54Z,-24.3437,-24.3437,100.4447,100.4447,0.72,1104.24
5902368,AO,data/indian/2020/09/nodc_R5902368_223.nc,2020-09-02T06:53:16Z,2020-09-02T06:53:16Z,-38.8958,-38.8958,112.8903,112.8903,0.84,1197.40
5902379,AO,data/indian/2020/09/nodc_R5902379_224.nc,2020-09-01T03:37:58Z,2020-09-01T03:37:58Z,-33.0744,-33.0744,100.2316,100.2316,0.64,1978.04
5902380,AO,data/indian/2020/09/nodc_R5902380_227.nc,2020-09-01T17:58:24Z,2020-09-01T17:58:24Z,-25.2194,-25.2194,97.1721,97.1721,0.80,1962.04
5902488,AO,data/indian/2020/09/nodc_R5902488_143.nc,2020-09-01T06:51:59Z,2020-09-01T06:51:59Z,-15.7953,-15.7953,106.5905,106.5905,0.44,2001.24
5902498,AO,data/indian/2020/09/nodc_R5902498_140.nc,2020-09-01T08:08:50Z,2020-09-01T08:08:50Z,-41.7530,-41.7530,118.4450,118.4450,0.84,2007.36
5904410,AO,data/indian/2020/09/nodc_R5904410_209.nc,2020-09-01T02:02:09Z,2020-09-01T02:02:09Z,-28.0780,-28.0780,44.3550,44.3550,0.40,1897.90
5904418,AO,data/indian/2020/09/nodc_R5904418_208.nc,2020-09-01T09:28:51Z,2020-09-01T09:28:51Z,-36.6860,-36.6860,135.7330,135.7330,0.00,1949.60
5904431,AO,data/indian/2020/09/nodc_R5904431_209.nc,2020-09-02T01:41:00Z,2020-09-02T01:41:00Z,-27.0990,-27.0990,33.7810,33.7810,-0.10,1150.10
5904452,AO,data/indian/2020/09/nodc_R5904452_212.nc,2020-09-01T03:52:59Z,2020-09-01T03:52:59Z,-31.1000,-31.1000,105.8470,105.8470,-0.40,1849.90
5904722,AO,data/indian/2020/09/nodc_R5904722_162.nc,2020-09-01T16:47:16Z,2020-09-01T16:47:16Z,-6.9500,-6.9500,77.2530,77.2530,4.10,2007.40
5904788,AO,data/indian/2020/09/nodc_R5904788_139.nc,2020-09-02T03:22:07Z,2020-09-02T03:22:07Z,-32.6600,-32.6600,30.1020,30.1020,4.10,1997.30
5904800,AO,data/indian/2020/09/nodc_R5904800_143.nc,2020-09-01T16:57:37Z,2020-09-01T16:57:37Z,-37.0250,-37.0250,121.0820,121.0820,4.10,1997.70
