time,latitude,longitude,depth,Temperature,CTD_Salinity,Salinity,Sigma_theta,Oxygen_1,CO2,Alkalinity,TOC,POC,PON,TN,NO3_plus_NO2,NO2,PO4,Silicate,Bact_Enum
UTC,degrees_north,degrees_east,m,degrees Celsius ( \u00b0C),dimensionless,dimensionless,kilograms per cubic meter (kg/m^3),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),microequivalents,micromoles per kilogram (umol/kg),micrograms per kilogram (ug/kg),micrograms per kilogram (ug/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),cells times 10^8 per kilogram
1998-11-18T11:05:00Z,31.655,-64.169,405.0,17.61,36.457,36.456,26.503,196.0,2103.2,2377.4,47.4,5.22,1.18,8.3,5.35,0.0,0.25,1.87,0.7
1998-12-08T14:25:00Z,31.638,-64.187,20.3,23.079,36.564,36.564,25.1,213.0,2036.5,2382.2,66.2,35.67,4.91,5.0,0.0,0.0,0.0,0.58,7.2
1998-12-09T03:10:00Z,31.638,-64.187,301.1,18.061,36.533,36.531,26.444,203.1,2095.2,2374.4,49.0,3.99,0.9,7.4,3.45,0.0,0.16,1.21,0.9
1999-01-15T23:20:00Z,31.664,-64.072,2.6,21.914,36.5,36.502,25.386,217.4,2040.2,2377.7,66.9,37.6,4.75,4.6,0.0,0.0,0.0,1.03,5.9
1999-01-15T23:20:00Z,31.664,-64.072,9.8,21.921,36.5,36.501,25.383,217.3,2040.7,2371.7,67.1,42.85,4.07,4.5,0.0,0.0,0.0,1.02,4.0
1999-01-15T23:20:00Z,31.664,-64.072,19.4,21.925,36.509,36.502,25.383,217.7,2040.0,2377.3,66.3,41.63,4.75,4.6,0.0,0.0,0.0,1.02,5.1
1999-01-15T23:20:00Z,31.664,-64.072,39.0,21.909,36.539,36.507,25.393,218.0,2040.5,2381.9,65.6,41.08,4.62,4.6,0.0,0.0,0.0,1.02,6.1
1999-01-15T23:20:00Z,31.664,-64.072,59.3,21.906,36.566,36.561,25.436,217.2,2039.4,2389.7,63.5,27.67,3.74,4.3,0.0,0.0,0.0,1.01,5.3
1999-01-15T23:20:00Z,31.664,-64.072,79.8,21.904,36.568,36.567,25.442,217.0,2043.7,2381.9,62.2,26.81,4.21,4.2,0.0,0.0,0.0,1.01,5.7
1999-01-15T23:20:00Z,31.664,-64.072,98.4,21.888,36.575,36.577,25.455,216.4,2057.4,2393.6,60.6,42.44,6.38,4.2,0.0,0.0,0.0,1.0,5.1
1999-01-15T23:20:00Z,31.664,-64.072,117.6,18.973,36.47,36.476,26.163,232.9,2065.8,2385.7,57.1,26.57,3.13,4.1,0.0,0.0,0.0,1.0,3.1
1999-01-15T23:20:00Z,31.664,-64.072,137.2,18.269,36.492,36.481,26.347,214.7,2089.4,2383.9,55.8,25.05,2.57,4.3,0.39,0.0,0.0,1.17,2.5
1999-01-15T23:20:00Z,31.664,-64.072,156.7,18.083,36.496,36.495,26.404,202.3,2098.7,2382.0,55.0,19.82,2.3,6.6,2.34,0.0,0.07,1.63,2.4
1999-01-15T23:20:00Z,31.664,-64.072,196.8,17.876,36.493,36.499,26.461,201.7,2098.1,2381.0,52.2,13.5,1.63,7.8,4.2,0.0,0.2,2.9,1.5
1999-01-15T23:20:00Z,31.664,-64.072,246.4,17.693,36.465,36.476,26.491,200.5,2101.0,2377.3,49.5,34.08,2.36,7.7,4.69,0.0,0.23,2.2,1.6
1999-01-15T23:20:00Z,31.664,-64.072,298.6,17.314,36.403,36.42,26.543,192.6,2109.7,2379.2,49.2,10.88,1.69,9.2,4.87,0.0,0.28,2.13,1.9
2000-11-14T23:37:00Z,31.565,-64.194,300.2,18.174,36.526,36.525,26.412,198.6,2098.6,2400.5,48.4,8.85,1.16,7.6,4.14,0.0,0.18,1.95,0.8
2001-04-04T16:29:00Z,31.577,-64.202,159.9,19.052,36.623,36.625,26.259,192.0,2100.0,2374.8,53.3,15.03,2.41,6.6,2.53,0.0,0.09,0.76,2.2
2001-04-19T09:16:00Z,31.65,-64.184,298.8,17.793,36.47,36.474,26.467,192.4,2102.7,2385.3,50.4,13.64,0.82,7.9,5.44,0.0,0.25,2.22,0.7
2001-04-19T09:16:00Z,31.65,-64.184,399.1,16.58,36.261,36.264,26.602,177.4,2121.6,2373.3,49.4,7.95,1.14,10.4,9.0,0.0,0.48,2.77,0.7
2001-05-16T04:11:00Z,31.604,-64.14,299.0,18.488,36.581,36.581,26.376,206.6,2088.1,2392.3,51.6,15.98,2.83,5.4,2.94,0.0,0.13,1.04,1.4
2001-05-16T04:11:00Z,31.604,-64.14,400.1,17.873,36.484,36.484,26.459,193.7,2100.8,2385.0,49.8,20.38,2.77,8.0,5.19,0.0,0.22,1.56,0.8
2001-06-06T02:30:00Z,31.631,-64.169,300.6,18.57,36.582,36.576,26.351,199.7,2092.5,2388.1,48.0,11.69,1.39,6.4,3.04,0.0,0.2,1.07,1.0
2001-06-06T02:30:00Z,31.631,-64.169,400.6,18.044,36.517,36.515,26.44,191.9,2102.0,2387.7,47.0,11.72,0.82,7.2,4.77,0.0,0.29,1.5,0.9
2001-07-19T03:46:00Z,31.633,-64.168,400.2,17.967,36.533,36.531,26.472,207.3,2093.6,2382.9,48.5,13.49,2.2,7.5,3.8,0.0,0.25,1.53,1.3
